Name,Commercial Type,Price,sq metres,Neighbourhood
"Unit A7A North City Business Park, Finglas, Dublin 11",Industrial Unit For Sale,,1854,Dublin 11
"Unit 10 North Park, Junction 5 M50, Finglas, Dublin 11",Industrial Unit For Sale,3200000,3510,Dublin 11
"Harrier House, Dublin Airport Logistics Park, Finglas, Dublin 11",Industrial Unit For Sale,,3591,Dublin 11
"2/3 Drogheda Mall, Finglas, Dublin 11",Retail Unit For Sale,450000,,Dublin 11
"25 Cardiffsbridge Road, Finglas, Dublin 11",Retail Unit For Sale,240000,,Dublin 11
"Condor House, Dublin Airport Logistics Park, Finglas, Dublin 11",Industrial Unit For Sale,,2718,Dublin 11
"Unit 94B Lagan Road, Dublin Industrial Estate, Glasnevin, Dublin 11",Industrial Unit For Sale,380000,641,Dublin 11
"NorthCity Business Park, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,,Dublin 11
"""Peregrine House"", Dublin AirPort Logistics Park, St. Margaret's Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,2721,Dublin 11
"Unit A6 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,3716,Dublin 11
"Unit A5 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,2787,Dublin 11
"Unit A7B North City Business Park, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1874,Dublin 11
"Unit A7A North City Business Park, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1854,Dublin 11
"Unit D23 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,296,Dublin 11
"Unit C2 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,1350000,1119,Dublin 11
"6 Pinewood Green, Glasnevin, Dublin 11",Investment Property For Sale,475000,187,Dublin 11
"Glasilawn Avenue, Glasnevin, Dublin 11",Retail Unit For Sale,450000,93,Dublin 11
"'Clever Buys' 1 Mc Kee Rd, Finglas, Dublin 11",Retail Unit For Sale,165000,84,Dublin 11
"Bay Lane, Kilshane Cross, Dublin 11",Development Land For Sale,,,Dublin 11
"Creston Avenue, Finglas, Finglas, Dublin 11",Development Land For Sale,50000,,Dublin 11
"Unit E10, North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1598,Dublin 11
"Unit E12 and E13 North City Business Park, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1706,Dublin 11
"D23 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,296,Dublin 11
"21 Cardiffsbridge Road, Finglas, Dublin 11",Retail Unit For Sale,135000,186,Dublin 11
"Poppintree Cottages, Finglas, Dublin 11",Investment Property For Sale,480000,190,Dublin 11
"E13, Northcity Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,959,Dublin 11
"E12, Northcity Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,959,Dublin 11
"Kilshane, Kilshane Cross, Dublin 11",Development Land For Sale,,,Dublin 11
